City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Paracatu,BR,77.4,broken clouds,-17.2222,-46.8747,Hotel Paracatu Plaza
3,Jamestown,US,82.02,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
5,Souillac,MU,70.18,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
9,Bathsheba,BB,81.21,broken clouds,13.2167,-59.5167,Atlantis Hotel
10,Kavaratti,IN,80.62,overcast clouds,10.5669,72.642,Green leaf
14,Port Blair,IN,81.12,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
15,Atuona,PF,77.65,scattered clouds,-9.8,-139.0333,Villa Enata
23,Bambanglipuro,ID,76.5,scattered clouds,-7.95,110.2833,Puri Brata
24,Chau Doc,VN,75.74,overcast clouds,10.7,105.1167,JADE AND SAPPHIRE GUESTHOUSE
25,Rikitea,PF,73.04,light rain,-23.1203,-134.9692,People ThankYou
26,Isangel,VU,77.59,scattered clouds,-19.55,169.2667,Tanna Lodge
27,Vaini,TO,76.55,clear sky,-21.2,-175.2,Keleti Beach Resort
28,Sioux Lookout,CA,76.19,scattered clouds,50.1001,-91.917,Knobby's Fly-In Camps
29,Nishihara,JP,85.68,few clouds,26.1842,127.7558,Minshuku Agaihama
30,Diu,IN,79.59,overcast clouds,20.7141,70.9822,Hotel Relax Inn
31,Tortoli,IT,76.87,clear sky,39.9256,9.6572,Hotel La Bitta
33,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
35,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
38,Bethel,US,87.78,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
39,Mahebourg,MU,70.09,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
42,Tongren,CN,82.04,broken clouds,27.7172,109.1853,Fanjing Mountain International Conference Center
47,Bambous Virieux,MU,70.05,light rain,-20.3428,57.7575,Casa Tia Villa
51,Arraial Do Cabo,BR,70.86,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
52,Caravelas,BR,73.26,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
54,Vila Velha,BR,75.15,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
57,Atlantic City,US,85.17,clear sky,39.3643,-74.4229,Courtyard by Marriott Atlantic City Beach Block
62,Pitimbu,BR,73.99,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
64,Puerto Escondido,MX,86.83,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
65,Kapaa,US,84.18,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort Hotel
70,Flin Flon,CA,72.81,scattered clouds,54.7682,-101.865,Victoria Inn Flin Flon
71,Aksu,CN,73.89,clear sky,41.1231,80.2644,Pudong Holiday Hotel
72,Padang,ID,73.45,scattered clouds,-0.9492,100.3543,Mercure Padang
74,Farmington,US,88.48,broken clouds,36.7281,-108.2187,Courtyard by Marriott Farmington
75,Pennathur,IN,77.86,overcast clouds,12.25,79.2333,𝗠𝗲𝗿𝗿𝘆 𝗺𝗮𝘁𝗵𝗮 𝗸𝗼𝘃𝗶𝗹 𝘀𝘁𝗿𝗲𝗲𝘁
85,Champerico,GT,82.33,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
87,Lompoc,US,82.69,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
88,Bud,US,87.75,few clouds,39.447,-86.1758,Ted McQuinn Trust
90,Fare,PF,76.55,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
94,Ca Mau,VN,77.43,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
98,Sabana De Torres,CO,81.21,scattered clouds,7.3915,-73.4957,Hotel el Milagro
103,Mahibadhoo,MV,81.27,light rain,3.7833,72.9667,Omadhoo Inn
104,Kanniyakumari,IN,78.76,overcast clouds,8.0833,77.5667,Sparsa Kanyakumari
106,Victoria,HK,82.45,light rain,22.2855,114.1577,Mini Central
112,Abu Kamal,SY,86.22,clear sky,34.4506,40.9171,البوكمال
113,Villareal,PH,79.92,overcast clouds,11.5659,124.9281,ros
116,Jieshou,CN,85.19,light rain,33.2634,115.3611,Vatica Jieshou City New Passenger Transport Center Hotel
119,Jiazi,CN,81.57,overcast clouds,22.8779,116.067,Hotel Jin Hao
120,Son La,VN,70.75,overcast clouds,21.3167,103.9,Galaxy Grand Hotel
123,Sao Filipe,CV,78.89,overcast clouds,14.8961,-24.4956,Hotel Xaguate
124,Matay,EG,83.64,clear sky,28.419,30.7792,Nag Aespen
125,Capitao Poco,BR,73.72,broken clouds,-1.7464,-47.0594,Hotel New Tokyo
127,Along,IN,77.36,moderate rain,28.1667,94.7667,Hotel West
128,Japura,ID,76.24,broken clouds,-0.3167,102.35,Rumah mbah Jamah
130,Katsuura,JP,84.09,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
131,Palmer,US,83.91,broken clouds,42.1584,-72.3287,Wedgewood Motel
134,Namatanai,PG,83.89,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
137,Requena,ES,71.8,clear sky,39.4883,-1.1004,Hotel Avenida
139,Luganville,VU,83.52,clear sky,-15.5333,167.1667,The Espiritu Hotel
141,Cabo San Lucas,MX,89.62,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
145,Alofi,NU,76.57,clear sky,-19.0595,-169.9187,Taloa Heights
151,Pacific Grove,US,85.55,clear sky,36.6177,-121.9166,Lovers Point Inn
152,Catalao,BR,70.61,overcast clouds,-18.1658,-47.9464,Mara Turismo Hotel
153,Ofaqim,IL,76.51,clear sky,31.3141,34.6203,The Negev Experience
155,Faanui,PF,76.86,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
157,Hasaki,JP,88.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
159,Touros,BR,75.06,clear sky,-5.1989,-35.4608,INN NEW HORIZON
