City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Teya,RU,2022-08-04 21:51:09,60.3778,92.6267,42.67,99,100,5.5
1,Broome,US,2022-08-04 21:51:10,42.2506,-75.833,73.45,88,75,3.44
2,Sibiti,CG,2022-08-04 21:51:10,-3.6819,13.3499,68.99,71,32,3.22
3,Puerto Ayora,EC,2022-08-04 21:51:10,-0.7393,-90.3518,76.96,83,54,8.99
4,Hilo,US,2022-08-04 21:51:11,19.7297,-155.09,87.28,72,0,9.22
5,Tuktoyaktuk,CA,2022-08-04 21:51:11,69.4541,-133.0374,68.0,40,75,6.91
6,Berlevag,NO,2022-08-04 21:51:12,70.8578,29.0864,58.8,82,40,8.05
7,Ushuaia,AR,2022-08-04 21:50:59,-54.8,-68.3,40.66,70,75,1.14
8,Albany,US,2022-08-04 21:48:27,42.6001,-73.9662,89.58,61,40,15.05
9,Zhezkazgan,KZ,2022-08-04 21:51:12,47.8043,67.7144,66.78,73,23,10.54
10,Port Elizabeth,ZA,2022-08-04 21:51:13,-33.918,25.5701,53.31,92,0,5.75
11,Yellowknife,CA,2022-08-04 21:50:54,62.456,-114.3525,64.92,48,75,10.36
12,Japura,ID,2022-08-04 21:51:13,-0.3167,102.35,73.45,98,100,1.45
13,Avarua,CK,2022-08-04 21:50:15,-21.2078,-159.775,77.05,73,40,18.41
14,Douentza,ML,2022-08-04 21:51:14,14.9951,-2.9517,79.77,68,100,3.87
15,Provideniya,RU,2022-08-04 21:51:14,64.3833,-173.3,53.71,87,100,4.47
16,Vila Franca Do Campo,PT,2022-08-04 21:51:14,37.7167,-25.4333,73.81,92,73,4.94
17,Rikitea,PF,2022-08-04 21:50:49,-23.1203,-134.9692,70.7,70,97,19.44
18,Busselton,AU,2022-08-04 21:51:15,-33.65,115.3333,51.62,73,100,5.73
19,Atuona,PF,2022-08-04 21:51:15,-9.8,-139.0333,77.2,75,25,19.1
20,New Norfolk,AU,2022-08-04 21:51:15,-42.7826,147.0587,45.9,68,69,1.92
21,Thompson,CA,2022-08-04 21:49:49,55.7435,-97.8558,66.36,39,75,3.44
22,Ilulissat,GL,2022-08-04 21:51:16,69.2167,-51.1,37.83,99,100,5.12
23,Havre-Saint-Pierre,CA,2022-08-04 21:51:16,50.2334,-63.5986,61.16,94,100,3.44
24,Vaini,TO,2022-08-04 21:51:17,-21.2,-175.2,78.96,83,75,10.36
25,Northam,GB,2022-08-04 21:51:17,51.0333,-4.2167,59.61,69,24,10.63
26,Shimoda,JP,2022-08-04 21:51:18,34.6667,138.95,72.1,90,94,11.45
27,Cape Town,ZA,2022-08-04 21:50:57,-33.9258,18.4232,54.91,89,20,10.36
28,Bluff,NZ,2022-08-04 21:51:03,-46.6,168.3333,57.79,58,100,23.49
29,Jamestown,US,2022-08-04 21:51:18,42.097,-79.2353,83.01,52,0,12.66
30,Goderich,CA,2022-08-04 21:51:19,43.7501,-81.7165,75.52,83,91,3.44
31,Almaznyy,RU,2022-08-04 21:51:19,48.0448,40.045,68.07,81,95,8.19
32,Kaitangata,NZ,2022-08-04 21:51:19,-46.2817,169.8464,52.59,69,100,8.3
33,Vanderhoof,CA,2022-08-04 21:51:20,54.0166,-124.0198,56.59,74,100,5.77
34,Bani Walid,LY,2022-08-04 21:51:20,31.7566,13.9942,76.96,66,1,10.92
35,San Ramon,US,2022-08-04 21:48:35,37.7799,-121.978,97.02,36,0,16.11
36,Tabas,IR,2022-08-04 21:51:21,33.5959,56.9244,87.19,16,0,5.12
37,Prieska,ZA,2022-08-04 21:51:21,-29.6641,22.7474,56.86,56,0,3.98
38,Victoria,HK,2022-08-04 21:49:18,22.2855,114.1577,78.85,93,99,10.0
39,Mataura,NZ,2022-08-04 21:51:21,-46.1927,168.8643,57.47,86,100,4.97
40,Netishyn,UA,2022-08-04 21:51:22,50.34,26.6417,65.61,77,49,5.57
41,Fort-Shevchenko,KZ,2022-08-04 21:51:22,44.5086,50.263,80.69,58,0,8.46
42,Kavieng,PG,2022-08-04 21:51:22,-2.5744,150.7967,82.76,74,100,12.59
43,Labuhan,ID,2022-08-04 21:51:23,-6.8844,112.2051,73.49,84,3,8.48
44,Sao Joao Da Barra,BR,2022-08-04 21:51:23,-21.6403,-41.0511,75.29,83,62,18.72
45,Banjar,ID,2022-08-04 21:51:24,-8.19,114.9675,71.96,82,7,5.23
46,Vardo,NO,2022-08-04 21:51:24,70.3705,31.1107,51.78,87,95,4.61
47,Praia Da Vitoria,PT,2022-08-04 21:51:24,38.7333,-27.0667,77.76,100,40,2.06
48,Scottsbluff,US,2022-08-04 21:51:25,41.8666,-103.6672,102.43,21,0,8.05
49,Tomatlan,MX,2022-08-04 21:51:25,19.9333,-105.25,91.27,57,67,10.29
50,Bosaso,SO,2022-08-04 21:51:26,11.2842,49.1816,90.48,41,32,19.39
51,Faanui,PF,2022-08-04 21:51:26,-16.4833,-151.75,77.34,78,42,25.28
52,Troitskoye,RU,2022-08-04 21:51:26,52.9821,84.6757,49.86,81,0,7.25
53,Sao Filipe,CV,2022-08-04 21:51:27,14.8961,-24.4956,77.05,81,91,7.25
54,Harnosand,SE,2022-08-04 21:51:27,62.6323,17.9379,68.02,89,97,20.18
55,Bengkulu,ID,2022-08-04 21:51:27,-3.8004,102.2655,73.56,90,98,3.94
56,Upernavik,GL,2022-08-04 21:51:28,72.7868,-56.1549,44.82,79,100,14.61
57,Tasiilaq,GL,2022-08-04 21:51:28,65.6145,-37.6368,40.35,84,100,2.39
58,Rocha,UY,2022-08-04 21:51:28,-34.4833,-54.3333,50.07,89,100,13.44
59,Laguna,US,2022-08-04 21:51:29,38.421,-121.4238,104.14,19,0,11.5
60,Zhigansk,RU,2022-08-04 21:51:29,66.7697,123.3711,49.19,59,100,21.92
61,Butaritari,KI,2022-08-04 21:51:30,3.0707,172.7902,81.48,76,67,11.7
62,Punta Arenas,CL,2022-08-04 21:48:23,-53.15,-70.9167,41.11,87,75,0.0
63,Hobyo,SO,2022-08-04 21:51:30,5.3505,48.5268,76.1,85,61,22.15
64,Kapaa,US,2022-08-04 21:51:30,22.0752,-159.319,83.48,67,20,9.22
65,Khagaria,IN,2022-08-04 21:51:31,25.5,86.4833,82.35,77,68,7.9
66,Bredasdorp,ZA,2022-08-04 21:51:31,-34.5322,20.0403,48.96,92,90,5.3
67,Roald,NO,2022-08-04 21:50:48,62.5833,6.1333,56.16,87,75,9.22
68,Dawlatabad,AF,2022-08-04 21:51:32,36.4141,64.9053,76.78,24,1,3.0
69,Codrington,AU,2022-08-04 21:51:32,-38.2667,141.9667,47.68,92,90,12.28
70,Bumba,CD,2022-08-04 21:51:32,2.1833,22.4667,72.0,95,69,1.81
71,Te Anau,NZ,2022-08-04 21:51:33,-45.4167,167.7167,50.52,77,100,11.7
72,Touros,BR,2022-08-04 21:51:33,-5.1989,-35.4608,75.97,80,14,11.56
73,Yarada,IN,2022-08-04 21:51:33,17.65,83.2667,82.11,73,91,2.44
74,Sassandra,CI,2022-08-04 21:51:34,4.95,-6.0833,72.73,82,76,6.31
75,Bathsheba,BB,2022-08-04 21:51:34,13.2167,-59.5167,84.81,88,40,18.41
76,Longyearbyen,SJ,2022-08-04 21:51:34,78.2186,15.6401,46.47,96,100,0.43
77,Koumac,NC,2022-08-04 21:51:35,-20.5667,164.2833,75.85,78,0,3.6
78,Hithadhoo,MV,2022-08-04 21:51:35,-0.6,73.0833,80.71,72,95,10.85
79,Ucluelet,CA,2022-08-04 21:51:36,48.9329,-125.5528,64.71,82,23,1.99
80,Barrow,US,2022-08-04 21:51:36,71.2906,-156.7887,56.28,63,94,14.76
81,San Quintin,MX,2022-08-04 21:51:36,30.4833,-115.95,75.42,73,19,16.64
82,Port Alfred,ZA,2022-08-04 21:51:37,-33.5906,26.891,59.14,83,61,5.3
83,Semey,KZ,2022-08-04 21:51:37,50.4111,80.2275,60.58,50,97,9.13
84,Vredendal,ZA,2022-08-04 21:51:37,-31.6683,18.5012,47.62,87,6,1.95
85,Sorland,NO,2022-08-04 21:51:38,67.667,12.6934,53.46,75,81,11.21
86,Matamoros,MX,2022-08-04 21:49:31,25.5333,-103.25,98.31,19,18,8.93
87,Oriximina,BR,2022-08-04 21:51:38,-1.7656,-55.8661,83.5,61,86,4.68
88,Shar,KZ,2022-08-04 21:51:38,49.5886,81.0453,59.16,51,79,8.34
89,Male,MV,2022-08-04 21:51:39,4.1748,73.5089,82.35,83,75,20.71
90,Erzin,TR,2022-08-04 21:51:39,36.9559,36.2,76.59,78,0,1.32
91,Nuuk,GL,2022-08-04 21:51:39,64.1835,-51.7216,47.88,76,100,25.01
92,Airai,TL,2022-08-04 21:51:40,-8.9266,125.4092,55.13,80,26,1.99
93,Uruacu,BR,2022-08-04 21:51:40,-14.5247,-49.1408,78.91,28,3,1.52
94,Klaksvik,FO,2022-08-04 21:51:41,62.2266,-6.589,47.32,77,96,19.37
95,Nikolskoye,RU,2022-08-04 21:51:41,59.7035,30.7861,66.09,70,17,4.59
96,Lebu,CL,2022-08-04 21:47:41,-37.6167,-73.65,49.41,70,99,4.97
97,Salalah,OM,2022-08-04 21:51:41,17.0151,54.0924,77.63,92,99,1.7
98,Chokurdakh,RU,2022-08-04 21:51:42,70.6333,147.9167,46.45,66,100,13.11
99,Bafra,TR,2022-08-04 21:51:42,41.5678,35.9069,78.82,87,36,2.57
100,Albemarle,US,2022-08-04 21:51:42,35.3501,-80.2001,93.61,55,12,7.9
101,Georgetown,MY,2022-08-04 21:51:43,5.4112,100.3354,80.89,94,20,3.44
102,Saldanha,ZA,2022-08-04 21:51:43,-33.0117,17.9442,46.45,84,41,7.54
103,Asau,RO,2022-08-04 21:51:43,46.4333,26.4,67.28,78,5,4.72
104,Castro,BR,2022-08-04 21:51:44,-24.7911,-50.0119,65.3,55,69,4.45
105,Juneau,US,2022-08-04 21:51:44,58.3019,-134.4197,63.84,93,75,6.91
106,Adana,TR,2022-08-04 21:51:44,36.985,35.2881,84.72,83,20,1.14
107,Hermanus,ZA,2022-08-04 21:51:45,-34.4187,19.2345,46.8,77,79,6.4
108,Dikson,RU,2022-08-04 21:51:45,73.5069,80.5464,44.53,100,100,12.37
109,Hasaki,JP,2022-08-04 21:51:46,35.7333,140.8333,73.8,90,100,15.7
110,Yaan,NG,2022-08-04 21:51:46,7.3833,8.5667,73.13,87,88,5.01
111,Kosa,RU,2022-08-04 21:51:47,59.9445,54.9977,59.58,80,26,3.02
112,Makakilo City,US,2022-08-04 21:51:47,21.3469,-158.0858,83.95,63,100,12.66
113,Cidreira,BR,2022-08-04 21:51:47,-30.1811,-50.2056,68.81,78,38,14.14
114,Bilopillya,UA,2022-08-04 21:51:48,51.1502,34.3129,65.1,95,98,8.75
115,Tanete,ID,2022-08-04 21:51:48,-3.9443,119.7848,71.6,90,41,3.83
116,Narsaq,GL,2022-08-04 21:51:48,60.9167,-46.05,47.5,86,89,2.26
117,Damietta,EG,2022-08-04 21:51:49,31.4165,31.8133,78.4,77,0,8.16
118,Porbandar,IN,2022-08-04 21:51:49,21.6422,69.6093,82.17,78,100,8.25
119,Ribeira Grande,PT,2022-08-04 21:51:49,38.5167,-28.7,75.6,94,40,3.44
120,Krasnyy Yar,RU,2022-08-04 21:51:50,46.5331,48.3456,73.33,36,33,1.74
121,Ponta Do Sol,PT,2022-08-04 21:51:50,32.6667,-17.1,74.03,79,5,8.9
122,Atar,MR,2022-08-04 21:51:50,20.5169,-13.0499,94.33,29,4,11.52
123,Gouyave,GD,2022-08-04 21:51:51,12.1646,-61.7296,83.17,74,20,19.57
124,Mogadishu,SO,2022-08-04 21:51:51,2.0371,45.3438,75.92,84,61,19.04
125,Ketchikan,US,2022-08-04 21:51:51,55.3422,-131.6461,66.67,59,0,9.22
126,Hobart,AU,2022-08-04 21:51:02,-42.8794,147.3294,46.26,89,0,5.75
127,Nome,US,2022-08-04 21:51:52,64.5011,-165.4064,52.16,87,100,4.61
128,Saint-Philippe,RE,2022-08-04 21:51:52,-21.3585,55.7679,65.79,78,33,11.12
129,Lorengau,PG,2022-08-04 21:51:53,-2.0226,147.2712,82.49,79,100,9.8
130,Nanortalik,GL,2022-08-04 21:51:53,60.1432,-45.2371,46.38,87,100,4.68
